Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Vanguard ftse emerging markets etf,VWO,"",22717958.0,1047979000.0,4.2245,4.8319,1,5912598.0,35.182811,addition,No Data,Q4 2009,FINANCE,13F,03/31/2022,46.1226,
Procter & gamble co. (oh) (1905),PG,"",6823611.0,1042648000.0,4.203,4.9345,2,1634471.0,31.497917,addition,0.2844004,Q1 2020,CONSUMER STAPLES,13F,03/31/2022,142.9671,
Ishares core msci emerging markets etf,IEMG,"",15960820.0,886624000.0,3.5741,2.8857,3,7668119.0,92.468292,addition,No Data,Q3 2016,FINANCE,13F,03/31/2022,58.0699,
Ishares msci emerging markets etf,EEM,"",19621771.0,885923000.0,3.5712,2.5306,4,10710521.0,120.191006,addition,No Data,Q1 2010,FINANCE,13F,03/31/2022,47.6524,
Spdr s&p 500 etf trust,SPY,"",1883234.0,850544000.0,3.4286,5.1997,5,0.0,0.0,,No Data,Q4 2007,FINANCE,13F,03/31/2022,201.37,
Alibaba group holding ltd adr,BABA,"",7480545.0,813883000.0,3.2808,2.9475,6,3212150.0,75.254282,addition,0.2759418,Q2 2018,COMMUNICATIONS,13F,03/31/2022,142.8876,
Johnson & johnson co.,JNJ,"",4345002.0,770065000.0,3.1042,3.0806,7,1247260.0,40.263521,addition,0.1651212,Q1 2020,HEALTH CARE,13F,03/31/2022,165.1028,
Coca cola co.,KO,"",11937821.0,740145000.0,2.9836,2.9914,8,3247047.0,37.362,addition,0.2753804,Q2 2019,CONSUMER STAPLES,13F,03/31/2022,55.5863,
Pepsico inc. (loft  inc.),PEP,"",4171268.0,698187000.0,2.8145,3.0818,9,1119392.0,36.678817,addition,0.3016791,Q1 2020,CONSUMER STAPLES,13F,03/31/2022,153.5446,
Costco co.,COST,"",1187767.0,683976000.0,2.7572,3.0217,10,272132.0,29.720576,addition,0.2681414,Q1 2020,CONSUMER STAPLES,13F,03/31/2022,432.0486,
Walmart inc,WMT,"",4032039.0,600451000.0,2.4205,2.3819,11,1200182.0,42.381448,addition,0.1470930,Q3 2020,CONSUMER STAPLES,13F,03/31/2022,143.519,
Mcdonalds corp.,MCD,"",2309303.0,571044000.0,2.3019,2.614,12,631903.0,37.671575,addition,0.3122592,Q1 2020,CONSUMER DISCRETIONARY,13F,03/31/2022,234.002,
Ishares core s&p 500 etf-,IVV,"",1123267.0,509615000.0,2.0543,2.4224,13,249645.0,28.57586,addition,No Data,Q3 2010,FINANCE,13F,03/31/2022,382.1447,
Ssga spdr gold shares,GLD,"",2107996.0,380809000.0,1.5351,2.2743,14,-180399.0,-7.883211,reduction,No Data,Q2 2017,MATERIALS,13F,03/31/2022,143.17,
Abbott laboratories,ABT,"",3045430.0,360457000.0,1.453,1.7866,15,861685.0,39.459049,addition,0.1739309,Q1 2020,HEALTH CARE,13F,03/31/2022,117.4278,
Starbucks corp.,SBUX,"",3299256.0,300133000.0,1.2099,1.7412,16,738610.0,28.844674,addition,0.2876673,Q1 2020,CONSUMER DISCRETIONARY,13F,03/31/2022,102.0221,
Target corp.,TGT,"",1323118.0,280792000.0,1.1319,1.4111,17,274310.0,26.154453,addition,0.2853414,Q1 2020,CONSUMER DISCRETIONARY,13F,03/31/2022,202.478,
Medtronic plc,MDT,"",1880088.0,208596000.0,0.8409,,18,1880088.0,,new,0.1401441,Q1 2022,HEALTH CARE,13F,03/31/2022,110.95,
Colgate-palmolive co.,CL,"",2627436.0,199238000.0,0.8031,0.9421,19,728497.0,38.36337,addition,0.3135583,Q3 2018,CONSUMER STAPLES,13F,03/31/2022,80.0363,
Pinduoduo inc,PDD,"",4939412.0,198120000.0,0.7986,0.9021,20,2277541.0,85.561659,addition,0.3906571,Q2 2019,CONSUMER DISCRETIONARY,13F,03/31/2022,64.1829,
Estee lauder companies inc.,EL,"",724888.0,197402000.0,0.7957,1.103,21,212329.0,41.42528,addition,0.3127143,Q4 2018,CONSUMER STAPLES,13F,03/31/2022,273.7766,
Pfizer  inc.,PFE,"",3314055.0,171569000.0,0.6916,0.2515,22,2581384.0,352.325123,addition,0.0590646,Q1 2021,HEALTH CARE,13F,03/31/2022,52.3846,
Intuitive surgical inc,ISRG,"",526494.0,158833000.0,0.6403,0.8371,23,125702.0,31.3634,addition,0.1466735,Q3 2020,HEALTH CARE,13F,03/31/2022,325.743,
Baidu inc adr,BIDU,"",1126473.0,149032000.0,0.6008,0.6486,24,376604.0,50.222639,addition,0.4086785,Q2 2018,COMMUNICATIONS,13F,03/31/2022,138.6705,
Stryker corp.,SYK,"",552227.0,147638000.0,0.5951,0.6423,25,139070.0,33.660328,addition,0.1460323,Q1 2020,HEALTH CARE,13F,03/31/2022,250.3891,
Dollar general corp.,DG,"",619657.0,137954000.0,0.5561,0.6693,26,131413.0,26.915436,addition,0.2729802,Q1 2020,CONSUMER DISCRETIONARY,13F,03/31/2022,214.9241,
Becton  dickinson and co.,BDX,"",516494.43,134037000.0,0.5403,0.5245,27,148743.9,40.446957,addition,0.1767659,Q1 2020,HEALTH CARE,13F,03/31/2022,248.802,
Edwards lifesciences corp.,EW,"",1135256.0,133642000.0,0.5387,0.6077,28,328371.0,40.696134,addition,0.1825899,Q2 2019,HEALTH CARE,13F,03/31/2022,104.2228,
Jd.com inc adr,JD,"",2141206.0,123912000.0,0.4995,1.084,29,-519938.0,-19.538138,reduction,0.1588659,Q2 2018,CONSUMER DISCRETIONARY,13F,03/31/2022,65.02,
Ishares gold trust,IAU,"",3353019.0,123492000.0,0.4978,0.7366,30,-286944.0,-7.883157,reduction,No Data,Q2 2017,MATERIALS,13F,03/31/2022,26.92,
Cvs health corp. (melville shoe),CVS,"",1210917.0,122557000.0,0.494,0.4691,31,428611.0,54.788152,addition,0.0923441,Q4 2017,CONSUMER STAPLES,13F,03/31/2022,81.5509,
Kimberly-clark corp.,KMB,"",990173.0,121950000.0,0.4916,0.6117,32,253863.0,34.477734,addition,0.2938849,Q1 2020,CONSUMER STAPLES,13F,03/31/2022,134.9017,
Ishares iboxx $ investment grade corporate bond etf-,LQD,"",998400.0,120746000.0,0.4867,0.74,33,37769.0,3.931687,addition,No Data,Q4 2010,FINANCE,13F,03/31/2022,119.9586,
Sysco corp.,SYY,"",1452034.0,118559000.0,0.4779,0.4949,34,368128.0,33.963093,addition,0.2850055,Q1 2020,CONSUMER STAPLES,13F,03/31/2022,75.514,
Chipotle mexican grill  inc.,CMG,"",74459.0,117796000.0,0.4748,0.5659,35,18778.0,33.724251,addition,0.2662821,Q3 2020,CONSUMER DISCRETIONARY,13F,03/31/2022,1460.6608,
Boston scientific inc.,BSX,"",2646012.0,117192000.0,0.4724,0.4513,36,818484.0,44.7864,addition,0.1850913,Q1 2019,HEALTH CARE,13F,03/31/2022,41.2718,
Nio inc,NIO,"",5323524.0,112060000.0,0.4517,0.5651,37,2255282.0,73.504046,addition,0.3497818,Q3 2019,CONSUMER DISCRETIONARY,13F,03/31/2022,24.6234,
Berkshire hathaway inc class b,BRK.B,"",301705.0,106475000.0,0.4292,,38,301705.0,,new,0.0234653,Q1 2022,FINANCE,13F,03/31/2022,352.91,
Ishares china large-cap etf,FXI,"",3276798.0,104759000.0,0.4223,0.6299,39,314765.0,10.626654,addition,No Data,Q2 2019,FINANCE,13F,03/31/2022,39.4637,
Kroger co.,KR,"",1820895.0,104465000.0,0.4211,0.3629,40,441448.0,32.001809,addition,0.2544712,Q1 2019,CONSUMER STAPLES,13F,03/31/2022,41.3854,
Yum! brands  inc. (tricon global restaurants),YUM,"",877836.0,104050000.0,0.4194,0.5085,41,247875.0,39.347674,addition,0.3078357,Q1 2020,CONSUMER DISCRETIONARY,13F,03/31/2022,111.8273,
Visa inc,V,"",459283.0,101855000.0,0.4106,0.2012,42,299588.0,187.600113,addition,0.0279077,Q1 2021,FINANCE,13F,03/31/2022,220.6052,
Constellation brands  inc.,STZ,"",440529.0,101463000.0,0.409,0.4813,43,110604.0,33.523983,addition,0.2764803,Q1 2020,CONSUMER STAPLES,13F,03/31/2022,218.7416,
Dollar tree inc.,DLTR,"",630688.0,101005000.0,0.4072,0.394,44,148401.0,30.770267,addition,0.2808600,Q1 2020,CONSUMER DISCRETIONARY,13F,03/31/2022,117.6174,
Hca healthcare inc,HCA,"",389350.0,97579000.0,0.3934,0.4673,45,76485.0,24.446646,addition,0.1317667,Q1 2020,HEALTH CARE,13F,03/31/2022,196.4201,
Exxonmobil corp. (standard oil of new jersey),XOM,"",1146997.0,94730000.0,0.3819,0.0023,46,1140479.0,17497.376496,addition,0.0272281,Q4 2021,ENERGY,13F,03/31/2022,82.4684,
Hershey company (the),HSY,"",430343.0,93225000.0,0.3758,0.361,47,109321.0,34.054052,addition,0.2947739,Q1 2020,CONSUMER STAPLES,13F,03/31/2022,173.0356,
Kraft heinz co. (the),KHC,"",2256361.0,88878000.0,0.3583,0.3187,48,729176.0,47.746409,addition,0.1843505,Q1 2020,CONSUMER STAPLES,13F,03/31/2022,36.9263,
Linde plc (praxair inc.),LIN,"",276338.0,88271000.0,0.3558,,49,276338.0,,new,0.0549681,Q1 2022,MATERIALS,13F,03/31/2022,319.43,
Li auto inc. ads,LI,"",3356105.0,86621000.0,0.3492,0.2905,50,1799177.0,115.559422,addition,0.3925491,Q1 2021,CONSUMER DISCRETIONARY,13F,03/31/2022,27.1785,
Ishares msci taiwan etf,EWT,"",1393923.0,85657000.0,0.3453,0.5525,51,-32835.0,-2.301371,reduction,No Data,Q3 2019,FINANCE,13F,03/31/2022,37.34,
Monster beverage corp.,MNST,"",1056707.0,84431000.0,0.3403,0.445,52,259664.0,32.578418,addition,0.1995024,Q3 2020,CONSUMER STAPLES,13F,03/31/2022,86.794,
Veeva systems inc,VEEV,"",388550.0,82551000.0,0.3328,0.4308,53,98451.0,33.937035,addition,2.6314736,Q3 2020,INFORMATION TECHNOLOGY,13F,03/31/2022,267.7994,
General mills co.,GIS,"",1212432.0,82106000.0,0.331,0.2308,54,623098.0,105.729179,addition,0.2030336,Q3 2019,CONSUMER STAPLES,13F,03/31/2022,65.8681,
Thermo fisher scientific  inc.,TMO,"",135749.0,80180000.0,0.3232,0.1804,55,89233.0,191.832918,addition,0.0346774,Q3 2021,HEALTH CARE,13F,03/31/2022,610.6923,
Mckesson corp.,MCK,"",256689.0,78580000.0,0.3168,0.2588,56,77553.0,43.292805,addition,0.1787766,Q3 2010,HEALTH CARE,13F,03/31/2022,223.5439,
Tyson foods  inc.,TSN,"",874290.0,78363000.0,0.3159,0.3205,57,241799.0,38.229635,addition,0.2998878,Q1 2020,CONSUMER STAPLES,13F,03/31/2022,73.8664,
Btc ishares msci china etf,MCHI,"",1453428.0,76872000.0,0.3099,0.4625,58,185839.0,14.660825,addition,No Data,Q2 2019,FINANCE,13F,03/31/2022,64.3499,
