Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Apple inc,AAPL,"",890923410.0,155564138000.0,42.0857,47.5985,1,3787856.0,0.426976,addition,5.5045625,Q1 2016,INFORMATION TECHNOLOGY,13F,03/31/2022,37.9037,
Bank of america corp. (north carolina national bank),BAC,"",1010100606.0,41636348000.0,11.2641,13.5788,2,0.0,0.0,,12.5371165,Q3 2017,FINANCE,13F,03/31/2022,26.14,
American express co,AXP,"",151610700.0,28351201000.0,7.67002,7.4946,3,0.0,0.0,,20.1326115,Q1 2001,FINANCE,13F,03/31/2022,36.15,
Chevron corp. (standard oil of california),CVX,"",159178117.0,25918973000.0,7.01202,1.3561,4,120933081.0,316.205954,addition,8.1014366,Q4 2020,ENERGY,13F,03/31/2022,146.564,
Coca cola co.,KO,"",400000000.0,24799999000.0,6.70929,7.1563,5,0.0,0.0,,9.2271592,Q1 2001,CONSUMER STAPLES,13F,03/31/2022,11.29,
Occidental petroleum corp.,OXY,"",226119466.81,13182764915.02,3.56641,,6,5887618.81,2.673373,addition,24.1273626,Q1 2022,ENERGY,4,05/02/2022,,
Kraft heinz co. (the),KHC,"",325634818.0,12826755000.0,3.4701,3.5323,7,0.0,0.0,,26.6051965,Q3 2015,CONSUMER STAPLES,13F,03/31/2022,70.58,
Moodys corp,MCO,"",24669778.0,8323829000.0,2.2519,2.9114,8,0.0,0.0,,13.3711534,Q1 2001,FINANCE,13F,03/31/2022,6.89,
U.s. bancorp (first national bank of cincinnati),USB,"",126417887.0,6719111000.0,1.81776,2.1456,9,0.0,0.0,,8.5087482,Q1 2006,FINANCE,13F,03/31/2022,39.96,
Activision blizzard inc,ATVI,"",64315222.0,5152292000.0,1.39388,0.2947,10,49657101.0,338.76853,addition,8.2256997,Q4 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,77.015,
Hp inc,HPQ,"",120952818.0,4430501723.34,1.19861,1.0432,11,16476783.0,15.770873,addition,11.6960013,,INFORMATION TECHNOLOGY,13G,04/30/2022,,
Davita inc.,DVA,"",36095570.0,4082770000.0,1.10454,1.2407,12,0.0,0.0,,38.1559937,Q4 2011,HEALTH CARE,13F,03/31/2022,45.92,
