Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Howmet aerospace inc. (aluminum co. of america - alcoa - arconic),HWM,"",41065000.0,1475876000.0,14.7568,11.5673,1,0.0,0.0,,9.8261822,Q4 2015,INDUSTRIALS,13F,03/31/2022,92.03,
Marathon petroleum corp,MPC,"",11065000.0,946058000.0,9.4593,5.9856,2,495000.0,4.683065,addition,2.0453057,Q2 2019,ENERGY,13F,03/31/2022,59.1156,
Invesco qqq trust  series 1,QQQ,PUT,2394400.0,868066000.0,8.6795,12.1785,3,-1064600.0,-30.777681,reduction,No Data,Q3 2015,FINANCE,13F,03/31/2022,,
Peabody energy corp,BTU,"",25859970.0,634345000.0,6.3426,2.3045,4,0.0,0.0,,17.9832893,Q2 2017,ENERGY,13F,03/31/2022,28.89,
Invesco qqq trust  series 1,QQQ,CALL,1500000.0,543810000.0,5.4374,,5,1500000.0,,new,No Data,Q1 2022,FINANCE,13F,03/31/2022,,
Nielsen n.v.,NLSN,"",16600000.0,452184000.0,4.5212,3.013,6,0.0,0.0,,4.6150428,Q3 2018,COMMUNICATIONS,13F,03/31/2022,24.06,
Ishares u.s. real estate etf-,IYR,PUT,4000000.0,432880000.0,4.3282,2.0556,7,2000000.0,100.0,addition,No Data,Q1 2021,REAL ESTATE,13F,03/31/2022,,
The energy select sector spdr fund,XLE,PUT,5265000.0,402457000.0,4.024,1.4366,8,2340000.0,80.0,addition,No Data,Q2 2019,ENERGY,13F,03/31/2022,,
Twitter inc,TWTR,"",10000000.0,386900000.0,3.8685,3.8248,9,0.0,0.0,,1.3096247,Q1 2020,COMMUNICATIONS,13F,03/31/2022,51.77,
Spdr oil & gas exploration and production etf,XOP,PUT,2500000.0,336375000.0,3.3633,3.3936,10,-1500000.0,-37.5,reduction,No Data,Q4 2020,ENERGY,13F,03/31/2022,,
Suncor energy  inc.,SU,"",10000000.0,326135000.0,3.2609,,11,10000000.0,,new,0.7245752,Q1 2022,ENERGY,13F,03/31/2022,32.59,
Uniti group inc,UNIT,"",20475739.0,281746000.0,2.8171,2.5386,12,0.0,0.0,,8.6356749,Q3 2020,REAL ESTATE,13F,03/31/2022,10.54,
Spdr retail etf,XRT,PUT,3500000.0,264390000.0,2.6435,,13,3500000.0,,new,No Data,Q1 2022,CONSUMER DISCRETIONARY,13F,03/31/2022,,
Ishares iboxx $ investment grade corporate bond etf-,LQD,PUT,2150000.0,260021000.0,2.5999,4.691,14,-1850000.0,-46.25,reduction,No Data,Q4 2020,FINANCE,13F,03/31/2022,,
Consumer staples select sector spdr,XLP,PUT,2850000.0,216287000.0,2.1626,2.8474,15,-1322700.0,-31.6989,reduction,No Data,Q3 2021,CONSUMER STAPLES,13F,03/31/2022,,
Switch inc,SWCH,"",5785000.0,178294000.0,1.7827,1.4662,16,0.0,0.0,,3.8467159,Q4 2021,COMMUNICATIONS,13F,03/31/2022,28.64,
Ishares iboxx usd high yield corporate bond etf,HYG,PUT,2000000.0,164580000.0,1.6456,,17,2000000.0,,new,No Data,Q1 2022,FINANCE,13F,03/31/2022,,
Health care select sector spdr,XLV,PUT,1169900.0,160265000.0,1.6024,0.9325,18,422000.0,56.424656,addition,No Data,Q2 2021,HEALTH CARE,13F,03/31/2022,,
Evergy inc,EVRG,"",2244765.0,153407000.0,1.5339,5.7186,19,-7173712.0,-76.16637,reduction,0.9782037,Q4 2020,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,55.51,
E2open parent holdings  inc.,ETWO,"",16165321.0,142416000.0,1.424,1.564,20,469857.0,2.993585,addition,5.3637653,Q1 2021,FINANCE,13F,03/31/2022,10.0722,
Citrix systems inc.,CTXS,"",1200000.0,121080000.0,1.2106,1.0045,21,0.0,0.0,,0.9480176,Q3 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,107.37,
Digital realty trust  inc.,DLR,PUT,850000.0,120530000.0,1.2051,1.7217,22,-250000.0,-22.727273,reduction,N/A,Q2 2018,REAL ESTATE,13F,03/31/2022,,
At&t inc. (southwestern bell - sbc corp.),T,"",6620000.0,118150000.0,1.1813,1.0885,23,0.0,0.0,,0.0698422,Q3 2019,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,28.76,
Apache corp,APA,"",2750000.0,113658000.0,1.1364,0.6544,24,0.0,0.0,,0.8130504,Q3 2021,ENERGY,13F,03/31/2022,21.43,
Vaneck oil services etf-,OIH,PUT,390000.0,110195000.0,1.1018,1.2268,25,-360000.0,-48.0,reduction,No Data,Q1 2021,FINANCE,13F,03/31/2022,,
Valaris ltd,VAL,"",1900000.0,98743000.0,0.9873,0.7109,26,-331440.0,-14.853189,reduction,N/A,Q3 2021,ENERGY,13F,03/31/2022,,
Financial select sector spdr,XLF,PUT,2500000.0,95800000.0,0.9579,1.3823,27,-1500000.0,-37.5,reduction,No Data,Q3 2020,FINANCE,13F,03/31/2022,,
Equinix inc,EQIX,PUT,125000.0,92703000.0,0.9269,0.7485,28,25000.0,25.0,addition,N/A,Q2 2018,INFORMATION TECHNOLOGY,13F,03/31/2022,,
Noble corp (cayman island),NE,"",2603982.0,91270000.0,0.9126,0.5722,29,-2400.0,-0.092082,reduction,4.0038742,Q3 2021,ENERGY,13F,03/31/2022,11.99,
Twitter inc,TWTR,CALL,2000000.0,77380000.0,0.7737,,30,2000000.0,,new,N/A,Q1 2020,COMMUNICATIONS,13F,03/31/2022,,
Vaneck semiconductor etf,SMH,PUT,254300.0,68608000.0,0.686,3.5142,31,-1031700.0,-80.225505,reduction,No Data,Q1 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,,
Spdr biotech etf,XBI,CALL,484600.0,43556000.0,0.4355,,32,484600.0,,new,No Data,Q1 2022,HEALTH CARE,13F,03/31/2022,,
Tesla inc. note 2.000% 5/1,TSLA-BND2,PRN,2500000.0,43411000.0,0.4341,0.3767,33,0.0,0.0,,N/A,Q3 2020, ,13F,03/31/2022,,
Twitter inc note 3/1,DEBT-TWIT,PRN,50000000.0,42346000.0,0.4234,,34,50000000.0,,new,N/A,Q1 2022, ,13F,03/31/2022,,
Vanguard real estate index fund-etf shares,VNQ,PUT,300000.0,32511000.0,0.3251,2.8746,35,-2500000.0,-89.285714,reduction,No Data,Q2 2015,REAL ESTATE,13F,03/31/2022,,
Hilton worldwide holdings inc,HLT,PUT,185000.0,28072000.0,0.2807,0.2761,36,-15000.0,-7.5,reduction,N/A,Q4 2020,CONSUMER DISCRETIONARY,13F,03/31/2022,,
Marriott international inc/md,MAR,PUT,145000.0,25484000.0,0.2548,0.2925,37,-55000.0,-27.5,reduction,N/A,Q4 2020,CONSUMER DISCRETIONARY,13F,03/31/2022,,
Microstrategy inc note 0.750%12/1,DEBT-MICR,PRN,12000000.0,16655000.0,0.1665,0.1651,38,0.0,0.0,,N/A,Q4 2021, ,13F,03/31/2022,,
Mercadolibre inc,MELI,PRN,4000000.0,11064000.0,0.1106,0.1098,39,0.0,0.0,,N/A,Q4 2019,COMMUNICATIONS,13F,03/31/2022,,
Wayfair inc class a,W,PRN,7500000.0,8805000.0,0.088,0.1168,40,0.0,0.0,,N/A,Q4 2019,CONSUMER DISCRETIONARY,13F,03/31/2022,,
Cormedix inc,CRMD,"",1550523.0,8497000.0,0.085,0.0624,41,0.0,0.0,,3.9631744,Q1 2011,HEALTH CARE,13F,03/31/2022,30.52,
Microstrategy inc note 2/1,DEBT-MICR,PRN,5000000.0,3617000.0,0.0362,,42,5000000.0,,new,N/A,Q1 2022, ,13F,03/31/2022,,
Diamond offshore drilling inc,DO,"",330000.0,2353000.0,0.0235,,43,330000.0,,new,0.3297533,Q1 2022,ENERGY,13F,03/31/2022,7.13,
Principal financial group,PFG,"",5000.0,367000.0,0.0037,0.0032,44,0.0,0.0,,0.0019788,Q1 2021,FINANCE,13F,03/31/2022,59.96,
Apple inc,AAPL,PUT,0.0,0.0,,1.8857,"",-1200000.0,-100.0,soldall,N/A,Q4 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,,
Duke energy corp.,DUK,"",0.0,0.0,,0.9283,"",-1000000.0,-100.0,soldall,0.0000000,Q2 2021,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,98.72,
Ishares russell 2000 etf-,IWM,PUT,0.0,0.0,,0.9843,"",-500000.0,-100.0,soldall,No Data,Q2 2020,FINANCE,13F,03/31/2022,,
Marathon petroleum corp,MPC,CALL,0.0,0.0,,1.6989,"",-3000000.0,-100.0,soldall,N/A,Q2 2019,ENERGY,13F,03/31/2022,,
Healthcare trust of america inc,HTA,"",0.0,0.0,,0.9825,"",-3325000.0,-100.0,soldall,0.0000000,Q3 2021,REAL ESTATE,13F,03/31/2022,29.66,
Santander consumer usa holdings inc,SC,"",0.0,0.0,,6.2262,"",-16743397.0,-100.0,soldall,N/A,Q3 2021,FINANCE,13F,03/31/2022,41.78,
Dell technologies inc,DELL,"",0.0,0.0,,4.7143,"",-9483877.0,-100.0,soldall,0.0000000,Q4 2018,INFORMATION TECHNOLOGY,13F,03/31/2022,28.13,
Arconic corp. (2020),ARNC,"",0.0,0.0,,0.1607,"",-550000.0,-100.0,soldall,0.0000000,Q2 2020,MATERIALS,13F,03/31/2022,13.93,
