Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Berkshire hathaway inc class b,BRK.B,"",28686679.0,10123816000.0,51.22,43.8481,1,-5000000.0,-14.842662,reduction,2.2311219,Q3 2006,FINANCE,13F,03/31/2022,154.08,
Waste management  inc.,WM,"",18633672.0,2953437000.0,14.9425,13.5387,2,0.0,0.0,,4.4878027,Q3 2002,INDUSTRIALS,13F,03/31/2022,29.31,
Canadian national railway co.,CNI,"",13066169.0,1753000000.0,8.8691,6.9901,3,0.0,0.0,,1.9020496,Q3 2002,TRANSPORTS,13F,03/31/2022,7.1,
Caterpillar inc.,CAT,"",7353614.0,1638532000.0,8.2899,8.7167,4,-2331518.0,-24.073167,reduction,1.3787513,Q4 2005,INDUSTRIALS,13F,03/31/2022,57.22,
Ecolab inc.,ECL,"",4366427.0,770936000.0,3.9004,4.4592,5,0.0,0.0,,1.5285657,Q2 2010,MATERIALS,13F,03/31/2022,47.3,
Walmart inc,WMT,"",3020859.0,449866000.0,2.276,4.3599,6,-3900880.0,-56.356936,reduction,0.1102041,Q2 2006,CONSUMER STAPLES,13F,03/31/2022,54.9,
Deere & co.,DE,"",899655.0,373771000.0,1.891,1.5429,7,-133943.0,-12.958907,reduction,0.2943554,Q3 2021,INDUSTRIALS,13F,03/31/2022,335.07,
Coca-cola femsa  s.a.b. de c.v. adr,KOF,"",6214719.0,341499000.0,1.7278,1.4823,8,0.0,0.0,,11.8328704,Q2 2005,CONSUMER STAPLES,13F,03/31/2022,43.57,
Microsoft corp.,MSFT,"",944620.0,291236000.0,1.4735,2.837,9,-993083.0,-51.250527,reduction,0.0126302,Q3 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,281.92,
Crown castle international corp,CCI,"",1420072.0,262145000.0,1.3263,4.1474,10,-3143974.0,-68.885677,reduction,0.3279372,Q2 2007,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,36.16,
Schrodinger  inc.,SDGR,"",6981664.0,238214000.0,1.2052,1.0586,11,0.0,0.0,,11.2654784,Q1 2020,INFORMATION TECHNOLOGY,13F,03/31/2022,53.45,
United parcel service  inc. class b,UPS,"",740689.0,158848000.0,0.8037,2.1312,12,-1543326.0,-67.570747,reduction,0.1008512,Q4 2014,TRANSPORTS,13F,03/31/2022,111.17,
Fedex corporation,FDX,"",534362.0,123646000.0,0.6256,1.6818,13,-959350.0,-64.225902,reduction,0.2061755,Q2 2005,TRANSPORTS,13F,03/31/2022,90.72,
Coupang inc,CPNG,"",5714285.0,101029000.0,0.5111,0.7309,14,0.0,0.0,,0.3599262,Q1 2021,CONSUMER DISCRETIONARY,13F,03/31/2022,49.35,
Sanderson farms  inc.,SAFM,"",524236.0,98289000.0,0.4973,0.4361,15,0.0,0.0,,2.3487074,Q4 2021,CONSUMER STAPLES,13F,03/31/2022,191.08,
Madison square garden sports corp,MSGS,"",278147.0,49888000.0,0.2524,0.2104,16,0.0,0.0,,1.4121404,Q3 2021,CONSUMER DISCRETIONARY,13F,03/31/2022,185.95,
Weber inc,WEBR,"",2500000.0,24575000.0,0.1243,0.1407,17,0.0,0.0,,4.7304314,Q3 2021,CONSUMER DISCRETIONARY,13F,03/31/2022,17.59,
On holding ag,ONON,"",500000.0,12620000.0,0.0638,0.0823,18,0.0,0.0,,0.1805943,Q3 2021,CONSUMER DISCRETIONARY,13F,03/31/2022,30.13,
Canadian pacific railway ltd. (2001),CP,"",0.0,0.0,,0.7762,"",-2478545.0,-100.0,soldall,0.0000000,Q4 2021,TRANSPORTS,13F,03/31/2022,71.94,
Alphabet inc. class a,GOOGL,"",0.0,0.0,,0.2718,"",-21554.0,-100.0,soldall,0.0000000,Q1 2020,COMMUNICATIONS,13F,03/31/2022,1161.95,
Grupo televisa s.a. gdr,TV,"",0.0,0.0,,0.2871,"",-7038529.0,-100.0,soldall,0.0000000,Q4 2002,COMMUNICATIONS,13F,03/31/2022,12.82,
Alphabet inc. class c,GOOG,"",0.0,0.0,,0.2707,"",-21491.0,-100.0,soldall,0.0000000,Q1 2020,COMMUNICATIONS,13F,03/31/2022,1162.81,
