Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Synopsys inc.,SNPS,"",104472.0,34817000.0,10.6422,0.5504,1,97240.0,1344.579646,addition,0.0682956,Q4 2019,INFORMATION TECHNOLOGY,13F,03/31/2022,320.7335,
S&p global inc. (mcgraw-hill inc.),SPGI,"",79424.0,32578000.0,9.9578,7.6634,2,797.0,1.013647,addition,0.0233669,Q3 2021,COMMUNICATIONS,13F,03/31/2022,424.7424,
Twitter inc,TWTR,"",725932.0,28086000.0,8.5848,10.0993,3,-405507.0,-35.839935,reduction,0.0950698,Q1 2020,COMMUNICATIONS,13F,03/31/2022,40.73,
Deere & co.,DE,"",62178.0,25832000.0,7.8958,,4,62178.0,,new,0.0203438,Q1 2022,INDUSTRIALS,13F,03/31/2022,415.46,
Cognizant technology solutions corp,CTSH,"",238059.0,21347000.0,6.5249,,5,238059.0,,new,0.0456775,Q1 2022,INFORMATION TECHNOLOGY,13F,03/31/2022,89.67,
Willis towers watson public limited co,WTW,"",70610.0,16679000.0,5.0981,,6,70610.0,,new,0.0633340,Q1 2022,FINANCE,13F,03/31/2022,,
Blackrock inc. class a,BLK,"",16719.0,12776000.0,3.9051,4.9102,7,-9249.0,-35.616913,reduction,0.0110354,Q4 2020,FINANCE,13F,03/31/2022,744.56,
Union pacific corp.,UNP,"",44413.0,12134000.0,3.7089,,8,44413.0,,new,0.0070719,Q1 2022,TRANSPORTS,13F,03/31/2022,273.21,
Microsoft corp.,MSFT,"",37162.0,11457000.0,3.502,3.5291,9,-13646.0,-26.857975,reduction,0.0004969,Q1 2020,INFORMATION TECHNOLOGY,13F,03/31/2022,210.73,
Korn ferry,KFY,"",171092.0,11111000.0,3.3962,4.4168,10,-111300.0,-39.413298,reduction,0.3226972,Q4 2019,INDUSTRIALS,13F,03/31/2022,56.24,
Ringcentral inc,RNG,"",94007.0,11019000.0,3.3681,0.4451,11,82502.0,717.096914,addition,0.1106710,Q2 2021,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,131.048,
Roku inc,ROKU,"",83772.0,10494000.0,3.2076,,12,83772.0,,new,0.0698986,Q3 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,125.27,
Occidental petroleum corp.,OXY,"",184383.0,10462000.0,3.1978,,13,184383.0,,new,0.0196740,Q1 2022,ENERGY,13F,03/31/2022,56.74,
Iqvia holdings inc,IQV,"",44781.0,10354000.0,3.1648,0.157,14,42089.0,1563.484398,addition,0.0236587,Q4 2019,HEALTH CARE,13F,03/31/2022,226.4784,
Ss&c technologies holdings inc,SSNC,"",123802.0,9288000.0,2.839,,15,123802.0,,new,0.0485916,Q4 2019,INFORMATION TECHNOLOGY,13F,03/31/2022,75.02,
