Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Apple inc,AAPL,"",20238597.0,3533861000.0,6.4511,6.3623,1,-298989.0,-1.455814,reduction,0.1250440,Q3 2014,INFORMATION TECHNOLOGY,13F,03/31/2022,36.92,
Microsoft corp.,MSFT,"",8801702.0,2713653000.0,4.9538,5.1577,2,11307.0,0.128629,addition,0.1176850,Q3 2014,INFORMATION TECHNOLOGY,13F,03/31/2022,87.7936,
Invesco purebeta sm msci usa etf,PBUS,"",46068017.0,2097016000.0,3.8281,3.8682,3,0.0,0.0,,No Data,Q1 2021,FINANCE,13F,03/31/2022,40.6,
Amazon.com inc.,AMZN,"",11270220.0,1837018000.0,3.3535,3.1726,4,362320.0,3.321629,addition,0.0055387,Q3 2014,CONSUMER DISCRETIONARY,13F,03/31/2022,1301.2023,
Tesla inc,TSLA,"",1061594.0,1143974000.0,2.0883,1.8114,5,79067.0,8.047311,addition,0.1024318,Q3 2014,CONSUMER DISCRETIONARY,13F,03/31/2022,192.932,
Alphabet inc. class a,GOOGL,"",391855.0,1089886000.0,1.9896,1.9691,6,2251.0,0.577766,addition,0.1302867,Q3 2014,COMMUNICATIONS,13F,03/31/2022,955.698,
Ishares core s&p 500 etf-,IVV,"",2306955.0,1046642000.0,1.9107,1.9197,7,0.0,0.0,,No Data,Q4 2015,FINANCE,13F,03/31/2022,268.25,
Alphabet inc. class c,GOOG,"",373811.0,1044050000.0,1.9059,1.9116,8,-4862.0,-1.283957,reduction,0.1192850,Q3 2014,COMMUNICATIONS,13F,03/31/2022,898.53,
Nvidia corp.,NVDA,"",3133032.0,854879000.0,1.5606,1.5984,9,17780.0,0.57074,addition,0.1253213,Q3 2014,INFORMATION TECHNOLOGY,13F,03/31/2022,35.9223,
Meta platforms inc,META,"",3100408.0,689407000.0,1.2585,1.8088,10,17849.0,0.579032,addition,0.1351813,Q3 2014,COMMUNICATIONS,13F,03/31/2022,144.5605,
Unitedhealth group inc.,UNH,"",1162373.0,592775000.0,1.0821,0.996,11,25377.0,2.231934,addition,0.1238977,Q3 2014,HEALTH CARE,13F,03/31/2022,185.2476,
Johnson & johnson co.,JNJ,"",3286113.0,582398000.0,1.0632,0.9646,12,54059.0,1.67259,addition,0.1248807,Q3 2014,HEALTH CARE,13F,03/31/2022,123.0069,
Berkshire hathaway inc class b,BRK.B,"",1571813.0,554709000.0,1.0126,0.8396,13,-37816.0,-2.349361,reduction,0.1222486,Q3 2014,FINANCE,13F,03/31/2022,171.84,
Jpmorgan chase & co. (chemical bank),JPM,"",3580412.0,488082000.0,0.891,1.0129,14,-86060.0,-2.347216,reduction,0.1219050,Q3 2014,FINANCE,13F,03/31/2022,81.05,
Visa inc,V,"",2151665.0,477175000.0,0.8711,0.8029,15,27991.0,1.318046,addition,0.1307431,Q3 2014,FINANCE,13F,03/31/2022,102.127,
Procter & gamble co. (oh) (1905),PG,"",2905024.0,443888000.0,0.8103,0.8536,16,-86110.0,-2.878841,reduction,0.1210781,Q3 2014,CONSUMER STAPLES,13F,03/31/2022,93.57,
Exxonmobil corp. (standard oil of new jersey),XOM,"",5101974.0,421372000.0,0.7692,0.5251,17,182706.0,3.714089,addition,0.1211139,Q3 2014,ENERGY,13F,03/31/2022,81.1919,
Home depot  inc. (the),HD,"",1342886.0,401966000.0,0.7338,0.9569,18,21208.0,1.604627,addition,0.1306621,Q3 2014,CONSUMER DISCRETIONARY,13F,03/31/2022,148.5691,
Mastercard inc,MA,"",1115188.0,398546000.0,0.7275,0.6998,19,-1102.0,-0.09872,reduction,0.1155730,Q3 2014,FINANCE,13F,03/31/2022,144.24,
Bank of america corp. (north carolina national bank),BAC,"",9194975.0,379017000.0,0.6919,0.7362,20,-290167.0,-3.059174,reduction,0.1141257,Q3 2014,FINANCE,13F,03/31/2022,20.91,
Abbvie inc,ABBV,"",2283258.0,370139000.0,0.6757,0.5248,21,61619.0,2.773583,addition,0.1292086,Q3 2014,HEALTH CARE,13F,03/31/2022,77.8374,
Pfizer  inc.,PFE,"",7146140.0,369956000.0,0.6754,0.7285,22,74175.0,1.04886,addition,0.1273618,Q3 2014,HEALTH CARE,13F,03/31/2022,32.9177,
Chevron corp. (standard oil of california),CVX,"",2264683.0,368758000.0,0.6732,0.4552,23,41096.0,1.848185,addition,0.1152620,Q3 2014,ENERGY,13F,03/31/2022,111.4496,
Broadcom ltd. (avago technologies),AVGO,"",546949.0,344403000.0,0.6287,0.6302,24,4049.0,0.74581,addition,0.1354445,Q2 2018,INFORMATION TECHNOLOGY,13F,03/31/2022,276.504,
Walt disney co. (the),DIS,"",2411266.0,330729000.0,0.6037,0.6419,25,35809.0,1.507457,addition,0.1324410,Q3 2014,COMMUNICATIONS,13F,03/31/2022,109.763,
Coca cola co.,KO,"",5163769.0,320154000.0,0.5844,0.5284,26,48448.0,0.947116,addition,0.1191173,Q3 2014,CONSUMER STAPLES,13F,03/31/2022,45.4765,
Costco co.,COST,"",550882.0,317225000.0,0.5791,0.5367,27,8942.0,1.649998,addition,0.1243630,Q3 2014,CONSUMER STAPLES,13F,03/31/2022,197.788,
Cisco systems  inc.,CSCO,"",5641971.0,314596000.0,0.5743,0.6221,28,14721.0,0.261602,addition,0.1362478,Q3 2014,INFORMATION TECHNOLOGY,13F,03/31/2022,34.6951,
Thermo fisher scientific  inc.,TMO,"",516022.0,304788000.0,0.5564,0.5639,29,31594.0,6.521919,addition,0.1318192,Q3 2014,HEALTH CARE,13F,03/31/2022,220.5196,
Verizon communications (bell atlantic corp.),VZ,"",5872889.0,299165000.0,0.5461,0.51,30,247086.0,4.392013,addition,0.1398426,Q3 2014,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,52.2619,
Lilly (eli) & co.,LLY,"",1039076.0,297560000.0,0.5432,0.4931,31,15740.0,1.538107,addition,0.1093581,Q3 2014,HEALTH CARE,13F,03/31/2022,91.2019,
Comcast corp.  class a,CMCSA,"",6147284.0,287816000.0,0.5254,0.5355,32,48250.0,0.791109,addition,0.1375056,Q3 2014,COMMUNICATIONS,13F,03/31/2022,33.1085,
Pepsico inc. (loft  inc.),PEP,"",1693901.0,283525000.0,0.5176,0.5218,33,-27857.0,-1.617939,reduction,0.1225082,Q3 2014,CONSUMER STAPLES,13F,03/31/2022,110.0,
Walmart inc,WMT,"",1880514.0,280046000.0,0.5112,0.4817,34,-27855.0,-1.459623,reduction,0.0686031,Q3 2014,CONSUMER STAPLES,13F,03/31/2022,90.14,
Adobe systems  inc.,ADBE,"",613659.0,279595000.0,0.5104,0.6126,35,-5568.0,-0.899186,reduction,0.1311237,Q3 2014,INFORMATION TECHNOLOGY,13F,03/31/2022,175.38,
Intel corp.,INTC,"",5488996.0,272035000.0,0.4966,0.4786,36,161568.0,3.032758,addition,0.1342381,Q3 2014,INFORMATION TECHNOLOGY,13F,03/31/2022,39.8155,
Merck & co,MRK,"",3256595.0,267204000.0,0.4878,0.433,37,18436.0,0.569336,addition,0.1287800,Q3 2014,HEALTH CARE,13F,03/31/2022,61.9942,
Salesforce.com inc.,CRM,"",1253251.0,266090000.0,0.4857,0.5397,38,35821.0,2.942346,addition,0.1259549,Q3 2014,INFORMATION TECHNOLOGY,13F,03/31/2022,132.0032,
Abbott laboratories,ABT,"",2205003.0,260984000.0,0.4764,0.5302,39,45728.0,2.117748,addition,0.1259324,Q3 2014,HEALTH CARE,13F,03/31/2022,60.6325,
Wells fargo & co.  (northwest bancorporation),WFC,"",5154917.0,249807000.0,0.456,0.4305,40,12037.0,0.234052,addition,0.1360010,Q3 2014,FINANCE,13F,03/31/2022,50.5451,
Mcdonalds corp.,MCD,"",983229.0,243133000.0,0.4438,0.4642,41,-9249.0,-0.93191,reduction,0.1329502,Q3 2014,CONSUMER DISCRETIONARY,13F,03/31/2022,138.61,
Advanced micro devices inc,AMD,"",2203119.0,240889000.0,0.4397,0.4217,42,523485.0,31.166611,addition,0.1359524,Q1 2017,INFORMATION TECHNOLOGY,13F,03/31/2022,48.2193,
Danaher corp.,DHR,"",812604.0,238361000.0,0.4351,0.4618,43,8013.0,0.99591,addition,0.1117632,Q3 2014,HEALTH CARE,13F,03/31/2022,103.2134,
Qualcomm inc.,QCOM,"",1540347.0,235396000.0,0.4297,0.473,44,57677.0,3.890077,addition,0.1369098,Q3 2014,INFORMATION TECHNOLOGY,13F,03/31/2022,72.4466,
At&t inc. (southwestern bell - sbc corp.),T,"",13126674.87,234277000.0,0.4277,0.4208,45,143320.35,1.103878,addition,0.1384887,Q3 2014,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,34.5784,
Nike inc.,NKE,"",1701162.0,228908000.0,0.4179,0.4747,46,68435.0,4.191454,addition,0.1340807,Q3 2014,CONSUMER DISCRETIONARY,13F,03/31/2022,66.6178,
Texas instruments  inc.,TXN,"",1233151.0,226259000.0,0.413,0.4005,47,15157.0,1.244423,addition,0.1337280,Q3 2014,INFORMATION TECHNOLOGY,13F,03/31/2022,81.0645,
Netflix inc,NFLX,"",600538.0,224956000.0,0.4107,0.6069,48,23065.0,3.994126,addition,0.1359314,Q3 2014,COMMUNICATIONS,13F,03/31/2022,204.4169,
Union pacific corp.,UNP,"",818745.0,223689000.0,0.4083,0.3614,49,-3467.0,-0.421667,reduction,0.1303682,Q3 2014,TRANSPORTS,13F,03/31/2022,121.59,
Bristol-myers squibb co,BMY,"",3028439.0,221167000.0,0.4037,0.3199,50,87216.0,2.965297,addition,0.1422427,Q3 2014,HEALTH CARE,13F,03/31/2022,59.8897,
Nextera energy inc.,NEE,"",2498865.0,211679000.0,0.3864,0.389,51,110278.0,4.616872,addition,0.1272011,Q3 2014,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,62.0846,
United parcel service  inc. class b,UPS,"",971718.0,208395000.0,0.3804,0.3504,52,34627.0,3.695159,addition,0.1323078,Q3 2014,TRANSPORTS,13F,03/31/2022,117.8595,
Oracle corp,ORCL,"",2401808.0,198702000.0,0.3627,0.3779,53,-82027.0,-3.302434,reduction,0.0901266,Q3 2014,INFORMATION TECHNOLOGY,13F,03/31/2022,43.78,
Lowes companies  inc.,LOW,"",958715.0,193843000.0,0.3539,0.4171,54,33752.0,3.649011,addition,0.1500034,Q3 2014,CONSUMER DISCRETIONARY,13F,03/31/2022,81.9091,
Raytheon technologies corp. (united technologies),RTX,"",1922787.0,190491000.0,0.3477,0.297,55,-55429.0,-2.801969,reduction,0.1292878,Q3 2014,INDUSTRIALS,13F,03/31/2022,55.49,
Cvs health corp. (melville shoe),CVS,"",1863835.0,188639000.0,0.3444,0.3171,56,102114.0,5.796264,addition,0.1421354,Q3 2014,CONSUMER STAPLES,13F,03/31/2022,77.3812,
Philip morris international inc,PM,"",1999723.0,187854000.0,0.3429,0.3512,57,-119543.0,-5.640774,reduction,0.1290052,Q3 2014,CONSUMER STAPLES,13F,03/31/2022,87.1,
Amgen  inc.,AMGN,"",758053.0,183312000.0,0.3346,0.295,58,6378.0,0.848505,addition,0.1419044,Q3 2014,HEALTH CARE,13F,03/31/2022,165.8248,
S&p global inc. (mcgraw-hill inc.),SPGI,"",445198.0,182611000.0,0.3334,0.2672,59,120609.0,37.157451,addition,0.1309791,Q3 2014,COMMUNICATIONS,13F,03/31/2022,222.7239,
Intuit  inc.,INTU,"",363147.0,174616000.0,0.3188,0.402,60,4907.0,1.369752,addition,0.1287404,Q3 2014,INFORMATION TECHNOLOGY,13F,03/31/2022,171.1224,
Honeywell international inc. (allied chemical and dye - allied signal),HON,"",886812.0,172556000.0,0.315,0.3105,61,33246.0,3.894954,addition,0.1302731,Q3 2014,INDUSTRIALS,13F,03/31/2022,127.0791,
Deere & co.,DE,"",409272.0,170036000.0,0.3104,0.2377,62,11913.0,2.998045,addition,0.1339085,Q3 2014,INDUSTRIALS,13F,03/31/2022,133.678,
Conocophillips (phillips petroleum),COP,"",1685152.0,168515000.0,0.3076,0.2103,63,15060.0,0.901747,addition,0.1302836,Q3 2014,ENERGY,13F,03/31/2022,59.5052,
