Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Invesco qqq trust  series 1,QQQ,PUT,650000.0,235651000.0,38.8576,,1,650000.0,,new,No Data,Q1 2022,FINANCE,13F,03/31/2022,,
Blackstone group inc,BX,"",591500.0,75085000.0,12.3811,15.0219,2,0.0,0.0,,0.0844127,Q1 2015,FINANCE,13F,03/31/2022,38.27,
Microsoft corp.,MSFT,"",203400.0,62710000.0,10.3406,12.7337,3,10500.0,5.443235,addition,0.0027196,Q2 2016,INFORMATION TECHNOLOGY,13F,03/31/2022,132.8032,
Micron technology  inc.,MU,"",446300.0,34762000.0,5.7321,8.1598,4,0.0,0.0,,0.0404571,Q2 2019,INFORMATION TECHNOLOGY,13F,03/31/2022,43.35,
Meta platforms inc,META,"",150200.0,33398000.0,5.5072,10.2592,5,-5200.0,-3.346203,reduction,0.0065489,Q4 2013,COMMUNICATIONS,13F,03/31/2022,197.13,
Qualcomm inc.,QCOM,"",163500.0,24986000.0,4.1201,5.8685,6,0.0,0.0,,0.0145323,Q2 2019,INFORMATION TECHNOLOGY,13F,03/31/2022,91.21,
Flywire corp,FLYW,"",637246.0,19487000.0,3.2133,4.7605,7,0.0,0.0,,0.6295248,Q2 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,36.74,
Controladora vuela co de aviacion s.a.b. de c.v. adr,VLRS,"",990161.0,18011000.0,2.9699,3.4924,8,0.0,0.0,,0.8932740,Q3 2015,TRANSPORTS,13F,03/31/2022,9.88,
Apollo global management inc,APO,"",255147.0,15817000.0,2.6081,3.6272,9,0.0,0.0,,0.0444152,Q2 2017,FINANCE,13F,03/31/2022,40.8,
Slm corp,SLM,"",799555.0,14680000.0,2.4207,11.9286,10,-2290100.0,-74.121544,reduction,0.2969960,Q1 2020,FINANCE,13F,03/31/2022,11.24,
Ooma inc,OOMA,"",740854.0,11105000.0,1.8312,2.9722,11,0.0,0.0,,3.0487819,Q2 2017,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,8.59,
Adaptive biotechnologies corp,ADPT,"",589311.0,8180000.0,1.3488,6.1431,12,-526100.0,-47.16647,reduction,0.4143426,Q3 2019,HEALTH CARE,13F,03/31/2022,30.9,
Ryanair holdings adr,RYAAY,"",81927.0,7137000.0,1.1769,1.6456,13,0.0,0.0,,0.0360854,Q2 2009,TRANSPORTS,13F,03/31/2022,35.26,
Qurate retail group inc series a (formerly liberty interactive),QRTEA,"",1245000.0,5926000.0,0.9772,,14,1245000.0,,new,0.3332119,Q1 2022,COMMUNICATIONS,13F,03/31/2022,4.76,
Alphabet inc. class c,GOOG,"",1750.0,4888000.0,0.806,,15,1750.0,,new,0.0005584,Q2 2014,COMMUNICATIONS,13F,03/31/2022,2792.99,
Sentinelone inc,S,"",110818.0,4293000.0,0.7079,,16,110818.0,,new,0.0556278,Q1 2022,INFORMATION TECHNOLOGY,13F,03/31/2022,38.74,
Uber technologies inc,UBER,"",100676.0,3592000.0,0.5923,1.371,17,-65900.0,-39.561521,reduction,0.0054101,Q2 2020,CONSUMER DISCRETIONARY,13F,03/31/2022,46.09,
Roblox corp. class a,RBLX,"",74740.0,3456000.0,0.5699,1.5133,18,0.0,0.0,,0.0137933,Q3 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,89.75,
Amazon.com inc.,AMZN,"",16200.0,2641000.0,0.4355,1.1845,19,-20000.0,-55.248619,reduction,0.0000080,Q4 2021,CONSUMER DISCRETIONARY,13F,03/31/2022,3334.34,
Adobe systems  inc.,ADBE,"",5680.0,2588000.0,0.4267,0.6901,20,-520.0,-8.387097,reduction,0.0012137,Q4 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,567.06,
Servicenow inc,NOW,"",4200.0,2339000.0,0.3857,,21,4200.0,,new,0.0020952,Q1 2022,INFORMATION TECHNOLOGY,13F,03/31/2022,556.89,
Sea ltd adr,SE,"",18000.0,2156000.0,0.3555,0.5445,22,5600.0,45.16129,addition,0.0035005,Q1 2020,INFORMATION TECHNOLOGY,13F,03/31/2022,139.3269,
Snowflake  inc.,SNOW,"",8800.0,2016000.0,0.3324,0.3657,23,3300.0,60.0,addition,0.0027666,Q4 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,297.6425,
Unity software inc.,U,"",16700.0,1657000.0,0.2732,0.3311,24,4900.0,41.525424,addition,0.0056416,Q4 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,130.1444,
Nemaura medical inc,NMRD,"",375000.0,1639000.0,0.2703,,25,375000.0,,new,1.5558316,Q1 2022,HEALTH CARE,13F,03/31/2022,4.37,
Spotify technology sa,SPOT,"",8879.0,1341000.0,0.2211,0.4079,26,0.0,0.0,,0.0049535,Q2 2018,COMMUNICATIONS,13F,03/31/2022,161.32,
Crowdstrike holdings inc,CRWD,"",5700.0,1294000.0,0.2134,0.3215,27,-2300.0,-28.75,reduction,0.0026708,Q2 2020,INFORMATION TECHNOLOGY,13F,03/31/2022,204.75,
Alpine immune sciences inc,ALPN,"",137728.0,1235000.0,0.2036,0.3745,28,0.0,0.0,,0.4541213,Q3 2015,HEALTH CARE,13F,03/31/2022,207.52,
Applovin corp,APP,"",21700.0,1195000.0,0.197,,29,21700.0,,new,0.0072307,Q1 2022,INFORMATION TECHNOLOGY,13F,03/31/2022,55.07,
Mongodb inc,MDB,"",2500.0,1109000.0,0.1829,0.2701,30,-100.0,-3.846154,reduction,0.0036703,Q4 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,529.35,
Doordash  inc.,DASH,"",8000.0,938000.0,0.1547,0.2455,31,-400.0,-4.761905,reduction,0.0025184,Q2 2021,CONSUMER DISCRETIONARY,13F,03/31/2022,148.9,
Zoominfo technologies inc.,ZI,"",10637.0,635000.0,0.1047,0.1341,32,0.0,0.0,,No Data,Q4 2021,COMMUNICATIONS,13F,03/31/2022,64.2,
Asana  inc.,ASAN,"",12520.0,500000.0,0.0824,0.1831,33,0.0,0.0,,0.0119500,Q4 2020,INFORMATION TECHNOLOGY,13F,03/31/2022,29.55,
Toast inc,TOST,"",0.0,0.0,,0.1702,"",-24966.0,-100.0,soldall,0.0000000,Q4 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,34.71,
Dlocal limited cl a,DLO,"",0.0,0.0,,0.2724,"",-38900.0,-100.0,soldall,0.0000000,Q3 2021, ,13F,03/31/2022,22.98,
Global-e online ltd,GLBE,"",0.0,0.0,,0.3347,"",-26900.0,-100.0,soldall,0.0000000,Q3 2021,INFORMATION TECHNOLOGY,13F,03/31/2022,67.83,
