Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Novo-nordisk a/s ads,NVO,"",18383971.0,2041540000.0,2.3958,2.6637,1,-732900.0,-3.833786,reduction,1.0371400,Q3 2005,HEALTH CARE,13F,03/31/2022,34.73,
Tesla inc,TSLA,"",1555375.0,1676072000.0,1.9669,0.9775,2,811900.0,109.203403,addition,0.1500761,Q4 2016,CONSUMER DISCRETIONARY,13F,03/31/2022,918.5299,
Kroger co.,KR,"",16427510.0,942446000.0,1.106,0.9938,3,-1222800.0,-6.927924,reduction,2.2957545,Q2 2018,CONSUMER STAPLES,13F,03/31/2022,31.77,
Gilead sciences inc.,GILD,"",15492116.0,921006000.0,1.0808,0.8204,4,6410047.0,70.579149,addition,1.2351072,Q1 2014,HEALTH CARE,13F,03/31/2022,65.5527,
Verisign inc.,VRSN,"",4016590.0,893531000.0,1.0486,1.3104,5,-133300.0,-3.212133,reduction,3.6666187,Q3 2009,COMMUNICATIONS,13F,03/31/2022,92.06,
Apple inc,AAPL,"",4504192.0,786477000.0,0.923,0.5902,6,1832460.0,68.586969,addition,0.0278291,Q2 2018,INFORMATION TECHNOLOGY,13F,03/31/2022,164.1406,
Advanced micro devices inc,AMD,"",7107290.0,777111000.0,0.912,,7,7107290.0,,new,0.4385841,Q3 2019,INFORMATION TECHNOLOGY,13F,03/31/2022,109.34,
Atlassian corp plc,TEAM,"",2643920.0,776863000.0,0.9117,1.3772,8,-259400.0,-8.934599,reduction,1.9255429,Q2 2016,INFORMATION TECHNOLOGY,13F,03/31/2022,102.17,
Zoom video communications inc,ZM,"",6449306.0,756052000.0,0.8873,0.9163,9,2444294.0,61.030878,addition,2.5622683,Q1 2020,INFORMATION TECHNOLOGY,13F,03/31/2022,183.149,
Amazon.com inc.,AMZN,"",4141100.0,674989000.0,0.7921,0.6125,10,1188000.0,40.228912,addition,0.0020351,Q1 2019,CONSUMER DISCRETIONARY,13F,03/31/2022,3312.999,
Meta platforms inc,META,"",3001000.0,667302000.0,0.7831,0.3058,11,2270300.0,310.702067,addition,0.1308470,Q4 2015,COMMUNICATIONS,13F,03/31/2022,250.3852,
Hershey company (the),HSY,"",3060267.0,662946000.0,0.778,0.7665,12,-124119.0,-3.897737,reduction,2.0962044,Q4 2008,CONSUMER STAPLES,13F,03/31/2022,121.11,
Moderna inc,MRNA,"",3818180.0,657720000.0,0.7719,0.5794,13,1984458.0,108.220221,addition,0.9599217,Q2 2020,HEALTH CARE,13F,03/31/2022,170.2285,
Franco-nevada corp,FNV,"",4073503.0,649794000.0,0.7626,0.7093,14,-49400.0,-1.198185,reduction,2.1273587,Q1 2014,MATERIALS,13F,03/31/2022,89.75,
Alphabet inc. class a,GOOGL,"",227648.0,633169000.0,0.743,0.7556,15,18000.0,8.58582,addition,0.0756900,Q3 2018,COMMUNICATIONS,13F,03/31/2022,1677.2187,
Mcdonalds corp.,MCD,"",2531400.0,625965000.0,0.7346,0.5853,16,776419.0,44.240878,addition,0.3422907,Q4 2020,CONSUMER DISCRETIONARY,13F,03/31/2022,248.1674,
Molina healthcare inc,MOH,"",1813615.0,605004000.0,0.71,0.7563,17,-97700.0,-5.111664,reduction,3.0896337,Q4 2004,HEALTH CARE,13F,03/31/2022,98.93,
Airbnb  inc.,ABNB,"",3403767.0,584631000.0,0.6861,0.7432,18,-184171.0,-5.13306,reduction,0.8895698,Q2 2021,CONSUMER DISCRETIONARY,13F,03/31/2022,164.6,
Home depot  inc. (the),HD,"",1882619.0,563524000.0,0.6613,,19,1882619.0,,new,0.1831778,Q1 2022,CONSUMER DISCRETIONARY,13F,03/31/2022,299.33,
Monster beverage corp.,MNST,"",7028060.0,561542000.0,0.659,0.7762,20,531500.0,8.181253,addition,1.3268717,Q1 2009,CONSUMER STAPLES,13F,03/31/2022,57.9184,
Verizon communications (bell atlantic corp.),VZ,"",10604493.0,540193000.0,0.6339,0.378,21,4756222.0,81.326977,addition,0.2525093,Q2 2019,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,52.2084,
Exxonmobil corp. (standard oil of new jersey),XOM,"",6444764.0,532273000.0,0.6246,0.4806,22,131410.0,2.081461,addition,0.1529899,Q3 2020,ENERGY,13F,03/31/2022,60.3822,
United therapeutics corp,UTHR,"",2765213.0,496107000.0,0.5822,0.7842,23,-151978.0,-5.209738,reduction,6.1042887,Q2 2010,HEALTH CARE,13F,03/31/2022,112.69,
Abiomed inc,ABMD,"",1414200.0,468440000.0,0.5497,0.6485,24,-37100.0,-2.556329,reduction,3.0995628,Q1 2015,HEALTH CARE,13F,03/31/2022,238.76,
