Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Apple inc,AAPL,PUT,206000.0,35970000.0,17.8618,,1,206000.0,,new,N/A,Q1 2022,INFORMATION TECHNOLOGY,13F,03/31/2022,,
Bristol-myers squibb co,BMY,"",300000.0,21909000.0,10.8795,25.1212,2,0.0,0.0,,0.0140907,Q4 2021,HEALTH CARE,13F,03/31/2022,62.35,
Booking holdings inc. (priceline),BKNG,"",8000.0,18788000.0,9.3297,,3,8000.0,,new,0.0196932,Q1 2022,CONSUMER DISCRETIONARY,13F,03/31/2022,2348.45,
Discovery inc series c,DISCK,"",750000.0,18728000.0,9.2999,,4,750000.0,,new,N/A,Q1 2022,COMMUNICATIONS,13F,03/31/2022,24.97,
Alphabet inc. class a,GOOGL,"",6500.0,18079000.0,8.9776,,5,6500.0,,new,0.0021612,Q1 2022,COMMUNICATIONS,13F,03/31/2022,2781.35,
Cigna holding co,CI,"",75000.0,17971000.0,8.924,,6,75000.0,,new,0.0236389,Q1 2022,FINANCE,13F,03/31/2022,239.61,
Meta platforms inc,META,"",80000.0,17789000.0,8.8336,,7,80000.0,,new,0.0034881,Q1 2022,COMMUNICATIONS,13F,03/31/2022,222.36,
Ovintiv inc. (pan canadian energy - encana corp.),OVV,"",300000.0,16221000.0,8.055,,8,300000.0,,new,0.1171020,Q1 2022,ENERGY,13F,03/31/2022,54.07,
Nexstar media group inc,NXST,"",76200.0,14362000.0,7.1318,,9,76200.0,,new,0.1885940,Q1 2022,COMMUNICATIONS,13F,03/31/2022,188.48,
Stellantis nv,STLA,"",600000.0,9762000.0,4.8476,,10,600000.0,,new,0.0386943,Q1 2022,CONSUMER DISCRETIONARY,13F,03/31/2022,16.27,
Global payments inc.,GPN,"",66700.0,9127000.0,4.5323,,11,66700.0,,new,0.0236912,Q1 2022,INFORMATION TECHNOLOGY,13F,03/31/2022,136.84,
Sportsmans warehouse holdings inc,SPWH,"",250000.0,2673000.0,1.3273,,12,250000.0,,new,0.5666256,Q1 2022,CONSUMER DISCRETIONARY,13F,03/31/2022,10.69,
General dynamics corp. (electric boat),GD,"",0.0,0.0,,22.3989,"",-80000.0,-100.0,soldall,0.0000000,Q4 2021,INDUSTRIALS,13F,03/31/2022,208.47,
Geo group  inc. (the),GEO,"",0.0,0.0,,8.8478,"",-850000.0,-100.0,soldall,0.0000000,Q4 2020,INDUSTRIALS,13F,03/31/2022,7.12,
Corecivic inc. (corrections corp. of america),CXW,"",0.0,0.0,,7.4377,"",-555427.0,-100.0,soldall,0.0000000,Q4 2020,REAL ESTATE,13F,03/31/2022,8.03,
Fidelity national financial inc,FNF,"",0.0,0.0,,22.7763,"",-325000.0,-100.0,soldall,0.0000000,Q4 2021,FINANCE,13F,03/31/2022,52.18,
Aea-bridges impact corp.,IMPX,"",0.0,0.0,,13.4181,"",-1000100.0,-100.0,soldall,0.0000000,Q4 2021,FINANCE,13F,03/31/2022,9.99,
