Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Rivian automotive inc,RIVN,"",19835761.0,996549000.0,15.085,28.1447,1,0.0,0.0,,2.2219295,Q4 2021,CONSUMER DISCRETIONARY,13F,03/31/2022,103.69,
Invesco qqq trust  series 1,QQQ,PUT,1000000.0,362540000.0,5.48784,3.8654,2,290000.0,40.84507,addition,No Data,Q4 2021,FINANCE,13F,03/31/2022,,
Liberty broadband corp class c,LBRDK,"",2669051.0,361176000.0,5.46719,7.1643,3,-580842.0,-17.87265,reduction,1.9387182,Q2 2016,COMMUNICATIONS,13F,03/31/2022,60.01,
Rivian automotive inc,RIVN,CALL,6045000.0,303701000.0,4.59718,,4,6045000.0,,new,N/A,Q1 2022,CONSUMER DISCRETIONARY,13F,03/31/2022,,
Cerner corp.,CERN,"",2730001.0,255419000.0,3.86633,1.4869,5,1560000.0,133.333219,addition,0.9306610,Q4 2021,HEALTH CARE,13F,03/31/2022,93.2643,
Amazon.com inc.,AMZN,"",1414340.0,230534000.0,3.48964,3.3947,6,-73680.0,-4.951546,reduction,0.0006951,Q4 2020,CONSUMER DISCRETIONARY,13F,03/31/2022,3197.37,
D.r. horton  inc.,DHI,"",3014385.0,224602000.0,3.39984,5.3852,7,-614400.0,-16.931287,reduction,0.8562858,Q1 2019,CONSUMER DISCRETIONARY,13F,03/31/2022,62.04,
Snap inc note 0.750% 8/0,DEBT-SNAP,PRN,96375000.0,168482000.0,2.55035,,8,96375000.0,,new,N/A,Q1 2022, ,13F,03/31/2022,,
Spdr s&p 500 etf trust,SPY,PUT,350000.0,158074000.0,2.3928,0.8449,9,220000.0,169.230769,addition,No Data,Q3 2020,FINANCE,13F,03/31/2022,,
American airls group inc note 6.500% 7/0,DEBT-AMER,PRN,113054000.0,155336000.0,2.35135,1.4413,10,36997000.0,48.64378,addition,N/A,Q2 2020, ,13F,03/31/2022,,
Sea ltd note 2.375%12/0,DEBT-SEA,PRN,87725000.0,138897000.0,2.10251,1.7784,11,37000000.0,72.942336,addition,N/A,Q4 2021, ,13F,03/31/2022,,
Aramark,ARMK,"",3616400.0,135977000.0,2.05831,2.7238,12,-1785169.0,-33.049083,reduction,1.4082787,Q1 2020,CONSUMER DISCRETIONARY,13F,03/31/2022,31.7,
Alphabet inc. class a,GOOGL,"",48166.0,133967000.0,2.02788,1.4555,13,11451.0,31.188887,addition,0.0160146,Q1 2017,COMMUNICATIONS,13F,03/31/2022,2045.4721,
Mgm growth properties llc,MGP,"",3312814.0,128206000.0,1.94068,0.9625,14,1591008.0,92.403442,addition,N/A,Q3 2021,REAL ESTATE,13F,03/31/2022,39.0638,
Zynga  inc.,ZNGA,"",13200001.0,121968000.0,1.84625,,15,13200001.0,,new,N/A,Q1 2022,INFORMATION TECHNOLOGY,13F,03/31/2022,9.24,
Sea ltd note 0.250% 9/1,DEBT-SEA,PRN,144500000.0,116009000.0,1.75605,1.7129,16,8500000.0,6.25,addition,N/A,Q3 2021, ,13F,03/31/2022,,
Royal caribbean group note 4.250% 6/1,DEBT-ROYA,PRN,86649000.0,113326000.0,1.71544,0.4193,17,62649000.0,261.0375,addition,N/A,Q4 2021, ,13F,03/31/2022,,
Dish network corporation note 12/1,DEBT-DISH,PRN,110650000.0,107781000.0,1.6315,1.043,18,34650000.0,45.592105,addition,N/A,Q4 2021, ,13F,03/31/2022,,
Bowlero corp,BOWL,"",9400000.0,100110000.0,1.51538,1.1602,19,0.0,0.0,,8.4544517,Q3 2021,FINANCE,13F,03/31/2022,9.04,
Wayfair inc note 1.000% 8/1,DEBT-WAYF,PRN,88450000.0,94347000.0,1.42815,0.8763,20,46000000.0,108.36278,addition,N/A,Q3 2020, ,13F,03/31/2022,,
Spdr s&p 500 etf trust,SPY,CALL,200000.0,90328000.0,1.36731,1.2999,21,0.0,0.0,,No Data,Q4 2021,FINANCE,13F,03/31/2022,,
Microstrategy inc note 0.750%12/1,DEBT-MICR,PRN,58642000.0,81712000.0,1.23689,0.3582,22,41900000.0,250.268785,addition,N/A,Q4 2021, ,13F,03/31/2022,,
Ncl corp ltd note 5.375% 8/0,DEBT-NCL,PRN,51000000.0,74029000.0,1.12059,,23,51000000.0,,new,N/A,Q1 2022, ,13F,03/31/2022,,
Indie semiconductor inc,INDI,"",9425000.0,66634750.0,1.00866,0.5175,24,5069247.0,116.380497,addition,7.9383328,,FINANCE,13G,05/17/2022,,
Cinemark hldgs inc note 4.500% 8/1,DEBT-CINE,PRN,43500000.0,64089000.0,0.970128,0.6692,25,9500000.0,27.941176,addition,N/A,Q3 2021, ,13F,03/31/2022,,
Figs inc,FIGS,"",2896215.0,62327000.0,0.943456,0.6795,26,1094393.0,60.738131,addition,1.9040366,Q2 2021,CONSUMER DISCRETIONARY,13F,03/31/2022,39.3005,
Ishares 1-5 year investment grade corporate bond etf-,IGSB,"",1113000.0,57564000.0,0.871358,0.8206,27,0.0,0.0,,No Data,Q2 2020,FINANCE,13F,03/31/2022,54.71,
